;Molecule ChEMBL ID;Smiles;Smiles_STAND;Standard Type;Standard Relation;Standard Value;Standard Units
25;CHEMBL3330748;CC(C)(C)n1c2cc(-c3ccc(N(c4ccccc4)c4ccccc4)cc3)sc2c2sc(-c3ccc(/C=C(\C#N)C(N)=O)s3)cc21;CC(C)(C)n1c2cc(-c3ccc(N(c4ccccc4)c4ccccc4)cc3)sc2c2sc(-c3ccc(/C=C(\C#N)C(N)=O)s3)cc21;IC50;'>';10000;nM
26;CHEMBL3330747;CC(C)(C)n1c2cc(-c3ccc(N(c4ccccc4)c4ccccc4)cc3)sc2c2sc(-c3ccc(C=C(C#N)C#N)s3)cc21;CC(C)(C)n1c2cc(-c3ccc(N(c4ccccc4)c4ccccc4)cc3)sc2c2sc(-c3ccc(C=C(C#N)C#N)s3)cc21;IC50;'>';10000;nM
27;CHEMBL3330743;O=Cc1ccc(-c2ccc(-c3ccc(N(c4ccccc4)c4ccccc4)cc3)c3nsnc23)s1;O=Cc1ccc(-c2ccc(-c3ccc(N(c4ccccc4)c4ccccc4)cc3)c3nsnc23)s1;IC50;'>';10000;nM
28;CHEMBL3330741;O=C1NC(=O)C(=Cc2ccc(-c3ccc(-c4ccc(N(c5ccccc5)c5ccccc5)cc4)s3)s2)C(=O)N1;O=C1NC(=O)C(=Cc2ccc(-c3ccc(-c4ccc(N(c5ccccc5)c5ccccc5)cc4)s3)s2)C(=O)N1;IC50;'>';10000;nM
29;CHEMBL3330750;COc1ccc(-c2ccc(-c3ccc(C=C(C#N)C#N)s3)s2)cc1;COc1ccc(-c2ccc(-c3ccc(C=C(C#N)C#N)s3)s2)cc1;IC50;'>';10000;nM
30;CHEMBL3330738;N#CC(C#N)=Cc1ccc(-c2ccc(-c3ccc(N(c4ccccc4)c4ccccc4)cc3)s2)s1;N#CC(C#N)=Cc1ccc(-c2ccc(-c3ccc(N(c4ccccc4)c4ccccc4)cc3)s2)s1;IC50;'>';10000;nM
31;CHEMBL2069534;CNc1ccc(-c2ccc3ccccc3n2)cc1;CNc1ccc(-c2ccc3ccccc3n2)cc1;IC50;'>';10000;nM
32;CHEMBL3942680;COc1cc(O)ccc1/C=C/C(=O)CC(=O)/C=C/c1ccc(O)cc1OC;COc1cc(O)ccc1C=CC(=O)CC(=O)C=Cc1ccc(O)cc1OC;IC50;'>';10000;nM
33;CHEMBL3330744;N#CC(C#N)=Cc1ccc(-c2ccc(-c3ccc(N(c4ccccc4)c4ccccc4)cc3)c3nsnc23)s1;N#CC(C#N)=Cc1ccc(-c2ccc(-c3ccc(N(c4ccccc4)c4ccccc4)cc3)c3nsnc23)s1;IC50;'>';10000;nM
34;CHEMBL3330740;N#C/C(=C\c1ccc(-c2ccc(-c3ccc(N(c4ccccc4)c4ccccc4)cc3)s2)s1)C(N)=O;N#C/C(=C\c1ccc(-c2ccc(-c3ccc(N(c4ccccc4)c4ccccc4)cc3)s2)s1)C(N)=O;IC50;'>';10000;nM
35;CHEMBL3663964;O=C(/C=C/c1cc(O)c(O)cc1Br)c1ccc(O)c(O)c1;O=C(C=Cc1cc(O)c(O)cc1Br)c1ccc(O)c(O)c1;IC50;'=';9020;nM
36;CHEMBL2181047;CN1CCN(c2ccc(/C=C/c3cc(/C=C/c4ccc(N5CCN(C)CC5)cc4)ncn3)cc2)CC1;CN1CCN(c2ccc(/C=C/c3cc(/C=C/c4ccc(N5CCN(C)CC5)cc4)ncn3)cc2)CC1;IC50;'=';7469;nM
37;CHEMBL3663945;Oc1ccc(-c2nc3cc(O)c(O)cc3o2)cc1O;Oc1ccc(-c2nc3cc(O)c(O)cc3o2)cc1O;IC50;'=';7340;nM
38;CHEMBL3663965;Oc1ccc(Cc2cc(O)c(O)cc2O)cc1O;Oc1ccc(Cc2cc(O)c(O)cc2O)cc1O;IC50;'=';5200;nM
39;CHEMBL2181535;C(=C/c1cc(-c2ccccc2)c(/C=C/c2ccc(N3CCOCC3)cc2)nn1)\c1ccc(N2CCOCC2)cc1;C(=C/c1cc(-c2ccccc2)c(/C=C/c2ccc(N3CCOCC3)cc2)nn1)\c1ccc(N2CCOCC2)cc1;IC50;'=';4707;nM
41;CHEMBL405110;CN(C)c1ccc2nc3ccc(=[N+](C)C)cc-3sc2c1.[Cl-];CN(C)c1ccc2nc3ccc(=[N+](C)C)cc-3sc2c1;IC50;'=';3400;nM
42;CHEMBL93124;CNc1ccc(-c2nc3ccc(O)cc3s2)cc1;CNc1ccc(-c2nc3ccc(O)cc3s2)cc1;IC50;'=';3255;nM
44;CHEMBL164;O=c1c(O)c(-c2cc(O)c(O)c(O)c2)oc2cc(O)cc(O)c12;O=c1c(O)c(-c2cc(O)c(O)c(O)c2)oc2cc(O)cc(O)c12;IC50;'<';3000;nM
45;CHEMBL3330735;CN(C)c1ccc2nc3ccc(N)cc3[s+]c2c1.[Cl-];CN(C)c1ccc2nc3ccc(N)cc3[s+]c2c1;IC50;'<';3000;nM
46;CHEMBL253570;O=c1c(O)c(-c2ccc(O)c(O)c2)oc2c(O)c(O)cc(O)c12;O=c1c(O)c(-c2ccc(O)c(O)c2)oc2c(O)c(O)cc(O)c12;IC50;'<';3000;nM
47;CHEMBL3330736;CNc1ccc2nc3ccc(N(C)C)cc3[s+]c2c1.[Cl-];CNc1ccc2nc3ccc(N(C)C)cc3[s+]c2c1;IC50;'<';3000;nM
48;CHEMBL1091115;C[N+](C)=c1ccc2nc3ccc(N)cc3sc-2c1.[Cl-];C[N+](C)=c1ccc2nc3ccc(N)cc3sc-2c1;IC50;'=';2600;nM
49;CHEMBL191083;CN(C)c1ccc2nc3ccc(=[N+](C)C)cc-3sc2c1;CN(C)c1ccc2nc3ccc(=[N+](C)C)cc-3sc2c1;IC50;'=';2200;nM
50;CHEMBL3981143;COc1cc(/C=C/C(=O)CC(=O)/C=C/c2ccco2)ccc1O;COc1cc(C=CC(=O)CC(=O)/C=C/c2ccco2)ccc1O;IC50;'=';2000;nM
52;CHEMBL297453;O=C(O[C@@H]1Cc2c(O)cc(O)cc2O[C@@H]1c1cc(O)c(O)c(O)c1)c1cc(O)c(O)c(O)c1;O=C(O[C@@H]1Cc2c(O)cc(O)cc2O[C@@H]1c1cc(O)c(O)c(O)c1)c1cc(O)c(O)c(O)c1;IC50;'=';1800;nM
53;CHEMBL3330737;N#C/C(=C\c1ccc(-c2ccc(-c3ccc(N(c4ccccc4)c4ccccc4)cc3)s2)s1)C(=O)O;N#C/C(=C\c1ccc(-c2ccc(-c3ccc(N(c4ccccc4)c4ccccc4)cc3)s2)s1)C(=O)O;IC50;'=';1700;nM
55;CHEMBL3330754;O=Cc1ccc(-c2ccc(-c3ccc4[nH]ccc4c3)s2)s1;O=Cc1ccc(-c2ccc(-c3ccc4[nH]ccc4c3)s2)s1;IC50;'=';1600;nM
56;CHEMBL2181537;COc1ccc(-c2cc(/C=C/c3ccc(N(C)C)cc3)nnc2/C=C/c2ccc(N(C)C)cc2)cc1;COc1ccc(-c2cc(/C=C/c3ccc(N(C)C)cc3)nnc2/C=C/c2ccc(N(C)C)cc2)cc1;IC50;'=';1591;nM
58;CHEMBL3892054;COc1cc(/C=C/C(=O)CC(=O)/C=C/c2ccccc2)ccc1O;COc1cc(C=CC(=O)CC(=O)/C=C/c2ccccc2)ccc1O;IC50;'=';1400;nM
59;CHEMBL3672436;COc1ccc(/C=C/C(=O)CC(=O)/C=C/c2ccc(O)c(OC)c2)c(O)c1;COc1ccc(C=CC(=O)CC(=O)C=Cc2ccc(O)c(OC)c2)c(O)c1;IC50;'=';1400;nM
60;CHEMBL2181538;CN(C)c1ccc(/C=C/c2cc(-c3ccccc3F)c(/C=C/c3ccc(N(C)C)cc3)nn2)cc1;CN(C)c1ccc(/C=C/c2cc(-c3ccccc3F)c(/C=C/c3ccc(N(C)C)cc3)nn2)cc1;IC50;'=';1251;nM
62;CHEMBL3978488;COc1cc(/C=C/C(=O)CC(=O)/C=C/c2ccc3c(c2)OCO3)ccc1O;COc1cc(C=CC(=O)CC(=O)/C=C/c2ccc3c(c2)OCO3)ccc1O;IC50;'=';1200;nM
63;CHEMBL2386876;Cc1ccc(C(=O)N/N=C/c2ccc(O)c(O)c2O)cc1;Cc1ccc(C(=O)NN=Cc2ccc(O)c(O)c2O)cc1;IC50;'=';970;nM
64;CHEMBL3940632;COc1ccc(O)c(/C=C/C(=O)CC(=O)/C=C/c2ccc(O)c(OC)c2)c1;COc1ccc(O)c(C=CC(=O)CC(=O)C=Cc2ccc(O)c(OC)c2)c1;IC50;'=';920;nM
65;CHEMBL3672439;COc1cc(/C=C/C(=O)CC(=O)/C=C/c2c(O)cccc2OC)ccc1O;COc1cc(C=CC(=O)CC(=O)C=Cc2c(O)cccc2OC)ccc1O;IC50;'=';910;nM
66;CHEMBL3970821;COc1cc(OCc2ccccn2)ccc1/C=C/c1cc(/C=C/c2cccc(C)n2)[nH]n1;COc1cc(OCc2ccccn2)ccc1C=Cc1cc(C=Cc2cccc(C)n2)[nH]n1;IC50;'=';840;nM
67;CHEMBL3930546;C(=C/c1cc(/C=C/c2ccc3cc[nH]c3c2)[nH]n1)\c1cccc(OCCN2CCOCC2)c1;C(=Cc1cc(C=Cc2ccc3cc[nH]c3c2)[nH]n1)c1cccc(OCCN2CCOCC2)c1;IC50;'=';840;nM
68;CHEMBL3903085;COc1cc(OCc2ccccn2)ccc1/C=C/c1cc(/C=C/c2ccnn2C)[nH]n1;COc1cc(OCc2ccccn2)ccc1C=Cc1cc(C=Cc2ccnn2C)[nH]n1;IC50;'=';830;nM
69;CHEMBL3911667;COc1cc(/C=C/C(=O)CC(=O)/C=C/c2cccc(O)c2OC)ccc1O;COc1cc(C=CC(=O)CC(=O)/C=C/c2cccc(O)c2OC)ccc1O;IC50;'=';710;nM
70;CHEMBL3965306;COc1ccc(/C=C/C(=O)CC(=O)/C=C/c2ccc3cc[nH]c3c2)c(OC)c1;COc1ccc(/C=C/C(=O)CC(=O)C=Cc2ccc3cc[nH]c3c2)c(OC)c1;IC50;'=';700;nM
71;CHEMBL3986412;COc1cc(/C=C/C(=O)CC(=O)/C=C/c2cccc(OC)c2O)ccc1O;COc1cc(C=CC(=O)CC(=O)C=Cc2cccc(OC)c2O)ccc1O;IC50;'=';690;nM
72;CHEMBL3927182;COc1cc(OCc2ccccn2)ccc1/C=C/c1cc(/C=C/c2cccn2C)[nH]n1;COc1cc(OCc2ccccn2)ccc1C=Cc1cc(C=Cc2cccn2C)[nH]n1;IC50;'=';660;nM
73;CHEMBL3953399;COc1cc(OCc2ccccn2)ccc1/C=C/c1cc(/C=C/c2ccc3cc[nH]c3c2)[nH]n1;COc1cc(OCc2ccccn2)ccc1C=Cc1cc(C=Cc2ccc3cc[nH]c3c2)[nH]n1;IC50;'=';660;nM
74;CHEMBL3906067;Cn1ccc2ccc(/C=C/c3cc(/C=C/c4ccc(OCc5ccccn5)cc4)n[nH]3)cc21;Cn1ccc2ccc(C=Cc3cc(C=Cc4ccc(OCc5ccccn5)cc4)[nH]n3)cc21;IC50;'=';650;nM
75;CHEMBL3945231;Cc1cc(OCc2ccccn2)ccc1/C=C/c1cc(/C=C/c2cccn2C)[nH]n1;Cc1cc(OCc2ccccn2)ccc1C=Cc1cc(C=Cc2cccn2C)[nH]n1;IC50;'=';640;nM
76;CHEMBL3901022;COc1cc(OCc2ccccc2)ccc1/C=C/C(=O)CC(=O)/C=C/c1ccc2cc[nH]c2c1;COc1cc(OCc2ccccc2)ccc1/C=C/C(=O)CC(=O)C=Cc1ccc2cc[nH]c2c1;IC50;'=';610;nM
77;CHEMBL3969106;COc1cc(/C=C/C(=O)CC(=O)/C=C/c2cc(O)ccc2OC)ccc1O;COc1cc(C=CC(=O)CC(=O)/C=C/c2cc(O)ccc2OC)ccc1O;IC50;'=';600;nM
78;CHEMBL3943017;Cn1ccc2ccc(/C=C/c3cc(/C=C/c4ccc(OCc5ccccn5)cc4F)n[nH]3)cc21;Cn1ccc2ccc(C=Cc3cc(C=Cc4ccc(OCc5ccccn5)cc4F)[nH]n3)cc21;IC50;'=';600;nM
79;CHEMBL3929747;COc1cc(OCc2ccccn2)ccc1/C=C/c1cc(/C=C/c2ccc(C)n2C)[nH]n1;COc1cc(OCc2ccccn2)ccc1C=Cc1cc(C=Cc2ccc(C)n2C)[nH]n1;IC50;'=';590;nM
80;CHEMBL3672401;COc1cc(/C=C/C(=O)CC(=O)/C=C/c2ccc(O)cc2OC)ccc1O;COc1cc(C=CC(=O)CC(=O)C=Cc2ccc(O)cc2OC)ccc1O;IC50;'=';580;nM
81;CHEMBL3941607;Cn1cccc1/C=C/c1cc(/C=C/c2ccc(OCc3ccccn3)cc2)n[nH]1;Cn1cccc1C=Cc1cc(C=Cc2ccc(OCc3ccccn3)cc2)[nH]n1;IC50;'=';550;nM
82;CHEMBL3958051;COc1ccc(/C=C/C(=O)CC(=O)/C=C/c2ccc(O)c(OC)c2)cc1O;COc1ccc(/C=C/C(=O)CC(=O)C=Cc2ccc(O)c(OC)c2)cc1O;IC50;'=';520;nM
83;CHEMBL3934054;Cn1cccc1/C=C/c1cc(/C=C/c2ccc(OCc3ccccn3)cc2F)n[nH]1;Cn1cccc1C=Cc1cc(C=Cc2ccc(OCc3ccccn3)cc2F)[nH]n1;IC50;'=';510;nM
84;CHEMBL3950384;COc1cc(/C=C/C(=O)CC(=O)/C=C/c2ccc3cc[nH]c3c2)ccc1O;COc1cc(C=CC(=O)CC(=O)C=Cc2ccc3cc[nH]c3c2)ccc1O;IC50;'=';440;nM
85;CHEMBL3938007;COc1cc(OCC2CCCO2)ccc1/C=C/C(=O)CC(=O)/C=C/c1ccc2cc[nH]c2c1;COc1cc(OCC2CCCO2)ccc1/C=C/C(=O)CC(=O)C=Cc1ccc2cc[nH]c2c1;IC50;'=';420;nM
86;CHEMBL3922663;COc1cc(/C=C/C(=O)CC(=O)/C=C/c2ccc3ccccc3c2)ccc1O;COc1cc(C=CC(=O)CC(=O)/C=C/c2ccc3ccccc3c2)ccc1O;IC50;'=';420;nM
87;CHEMBL1186487;CCC(/C=C1\Sc2ccc(OC)cc2N1CCO)=C\c1sc2ccc(OC)cc2[n+]1CCO;CCC(/C=C1\Sc2ccc(OC)cc2N1CCO)=C\c1sc2ccc(OC)cc2[n+]1CCO;IC50;'=';380;nM
88;CHEMBL3948937;COc1cc(OCc2ccccn2)ccc1/C=C/C(=O)CC(=O)/C=C/c1ccc2cc[nH]c2c1;COc1cc(OCc2ccccn2)ccc1/C=C/C(=O)CC(=O)C=Cc1ccc2cc[nH]c2c1;IC50;'=';330;nM
89;CHEMBL3970179;COc1cc(O)cc(/C=C/C(=O)CC(=O)/C=C/c2ccc(O)c(OC)c2)c1;COc1cc(O)cc(/C=C/C(=O)CC(=O)C=Cc2ccc(O)c(OC)c2)c1;IC50;'=';320;nM
90;CHEMBL3330753;COc1ccc(-c2cc3c(s2)c2sc(-c4ccc(/C=C(\C#N)C(N)=O)s4)cc2n3C(C)(C)C)cc1;COc1ccc(-c2cc3c(s2)c2sc(-c4ccc(/C=C(\C#N)C(N)=O)s4)cc2n3C(C)(C)C)cc1;IC50;'=';300;nM
91;CHEMBL3330751;COc1ccc(-c2cc3c(s2)c2sc(-c4ccc(C=O)s4)cc2n3C(C)(C)C)cc1;COc1ccc(-c2cc3c(s2)c2sc(-c4ccc(C=O)s4)cc2n3C(C)(C)C)cc1;IC50;'<';290;nM
93;CHEMBL2181036;COc1cc(/C=C/c2ccc(O)cc2)ccc1/C=C/c1ccc(O)cc1;COc1cc(C=Cc2ccc(O)cc2)ccc1C=Cc1ccc(O)cc1;IC50;'=';246;nM
95;CHEMBL3911126;COc1cc(O)ccc1/C=C/C(=O)CC(=O)/C=C/c1ccc2cc[nH]c2c1;COc1cc(O)ccc1C=CC(=O)CC(=O)C=Cc1ccc2cc[nH]c2c1;IC50;'=';230;nM
97;CHEMBL1789430;C1=C2\Sc3ccccc3N2CCCCC[n+]2c(sc3ccccc32)/C=C/C=C2\Sc3ccccc3N2CCCCC[n+]2c(sc3ccccc32)/C=C/1;C1=C2\Sc3ccccc3N2CCCCC[n+]2c(sc3ccccc32)/C=C/C=C2\Sc3ccccc3N2CCCCC[n+]2c(sc3ccccc32)/C=C/1;IC50;'=';80;nM
98;CHEMBL3286986;COc1cc(/C=c2\sc3nc(-c4ccncc4C)cn3c2=O)ccc1O;COc1cc(C=c2sc3nc(-c4ccncc4C)cn3c2=O)ccc1O;IC50;'=';79;nM
100;CHEMBL593252;Nc1ccc2nc3ccc(N)cc3[s+]c2c1.[Cl-];Nc1ccc2nc3ccc(N)cc3[s+]c2c1;IC50;'=';69;nM
102;CHEMBL2181042;CN1CCN(c2ccc(/C=C/c3cnc(/C=C/c4ccc(N5CCN(C)CC5)cc4)cn3)cc2)CC1;CN1CCN(c2ccc(/C=C/c3cnc(/C=C/c4ccc(N5CCN(C)CC5)cc4)cn3)cc2)CC1;IC50;'=';42;nM
103;CHEMBL2181531;C(=C/c1cc(/C=C/c2ccc(N3CCCCC3)cc2)ncn1)\c1ccc(N2CCCCC2)cc1;C(=C/c1cc(/C=C/c2ccc(N3CCCCC3)cc2)ncn1)\c1ccc(N2CCCCC2)cc1;IC50;'=';17;nM
104;CHEMBL3286990;COc1cc(/C=c2\sc3nc(-c4cccc(OC(F)(F)F)c4)cn3c2=O)cc(F)c1O;COc1cc(C=c2sc3nc(-c4cccc(OC(F)(F)F)c4)cn3c2=O)cc(F)c1O;IC50;'=';13;nM
105;CHEMBL2181039;COc1ccc(/C=C/c2cnc(/C=C/c3ccc(OC)cc3)cn2)cc1;COc1ccc(/C=C/c2cnc(/C=C/c3ccc(OC)cc3)cn2)cc1;IC50;'=';13;nM
106;CHEMBL3286987;COc1cc(/C=c2\sc3nc(-c4ccncc4C)cn3c2=O)cc(OC)c1O;COc1cc(C=c2sc3nc(-c4ccncc4C)cn3c2=O)cc(OC)c1O;IC50;'=';8;nM
107;CHEMBL2181041;C(=C/c1cnc(/C=C/c2ccc(N3CCOCC3)cc2)cn1)\c1ccc(N2CCOCC2)cc1;C(=C/c1cnc(/C=C/c2ccc(N3CCOCC3)cc2)cn1)\c1ccc(N2CCOCC2)cc1;IC50;'=';6;nM
108;CHEMBL2207756;C[N+]1=C(/C=C/c2ccc(N3CCCC3)cc2)C(C)(C)c2ccccc21.[I-];C[N+]1=C(/C=C/c2ccc(N3CCCC3)cc2)C(C)(C)c2ccccc21;IC50;'=';5.1;nM
109;CHEMBL3286985;COc1cc(/C=c2\sc3nc(-c4ccc(Cl)cc4)cn3c2=O)cc(O)c1O;COc1cc(C=c2sc3nc(-c4ccc(Cl)cc4)cn3c2=O)cc(O)c1O;IC50;'=';5;nM
110;CHEMBL3286981;COc1cc(/C=c2\sc3nc(-c4ccncc4)cn3c2=O)cc(OC)c1O;COc1cc(C=c2sc3nc(-c4ccncc4)cn3c2=O)cc(OC)c1O;IC50;'=';5;nM
111;CHEMBL2181045;CN(C)c1ccc(/C=C/c2cc(/C=C/c3ccc(N(C)C)cc3)ncn2)cc1;CN(C)c1ccc(/C=C/c2cc(/C=C/c3ccc(N(C)C)cc3)ncn2)cc1;IC50;'=';4;nM
112;CHEMBL3286989;COc1cc(/C=c2\sc3nc(-c4cccc(C(F)(F)F)c4)cn3c2=O)cc(Cl)c1O;COc1cc(C=c2sc3nc(-c4cccc(C(F)(F)F)c4)cn3c2=O)cc(Cl)c1O;IC50;'=';3;nM
113;CHEMBL2181533;CN(C)c1ccc(/C=C/C=C/c2cc(/C=C/C=C/c3ccc(N(C)C)cc3)ncn2)cc1;CN(C)c1ccc(/C=C/C=C/c2cc(/C=C/C=C/c3ccc(N(C)C)cc3)ncn2)cc1;IC50;'=';2;nM
114;CHEMBL2181532;C(=C/c1cc(/C=C/c2ccc(N3CCCC3)cc2)ncn1)\c1ccc(N2CCCC2)cc1;C(=C/c1cc(/C=C/c2ccc(N3CCCC3)cc2)ncn1)\c1ccc(N2CCCC2)cc1;IC50;'=';2;nM
115;CHEMBL3286982;COc1cc(/C=c2\sc3nc(-c4ccc(Cl)cc4)cn3c2=O)cc(OC)c1O;COc1cc(C=c2sc3nc(-c4ccc(Cl)cc4)cn3c2=O)cc(OC)c1O;IC50;'=';2;nM
116;CHEMBL3286983;COc1cc(/C=c2\sc3nc(-c4ccc(Cl)cc4)cn3c2=O)cc(Cl)c1O;COc1cc(C=c2sc3nc(-c4ccc(Cl)cc4)cn3c2=O)cc(Cl)c1O;IC50;'=';2;nM
117;CHEMBL3286984;COc1cc(/C=c2\sc3nc(-c4ccc(Cl)cc4)cn3c2=O)cc(Br)c1O;COc1cc(C=c2sc3nc(-c4ccc(Cl)cc4)cn3c2=O)cc(Br)c1O;IC50;'=';2;nM
118;CHEMBL2203332;CCCC[N+]1=C(/C=C/c2ccc(N(CC)CC)cc2)C(C)(C)c2ccccc21.[I-];CCCC[N+]1=C(/C=C/c2ccc(N(CC)CC)cc2)C(C)(C)c2ccccc21;IC50;'=';1.41;nM
119;CHEMBL3286988;COc1cc(/C=c2\sc3nc(-c4cccc(Cl)c4)cn3c2=O)cc(OC)c1O;COc1cc(C=c2sc3nc(-c4cccc(Cl)c4)cn3c2=O)cc(OC)c1O;IC50;'=';1;nM
